ATT ГЛОБАЛ НЕТВОРК СЕРВИСЕЗ,Л030-00114-77/00050133,2015-09-14,2026-09-14,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
АВАНТЕК-ПЛЮС,Л030-00114-77/00079370,2021-03-23,2026-03-23,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
АВАНТЕК-ПЛЮС,Л030-00114-77/00079371,2021-03-23,2026-03-23,Телематические услуги связи
АГРОСВЯЗЬ,Л030-00114-77/00052753,2016-05-26,2026-05-26,Телематические услуги связи
АМИКО,Л030-00114-77/00052313,2016-03-21,2026-03-21,Телематические услуги связи
АТМОСФЕРИКА,Л030-00114-77/00074828,2019-12-25,2029-12-25,Телематические услуги связи
АТМОСФЕРИКА,Л030-00114-77/00074829,2019-12-25,2029-12-25,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
БРИДЖ ТЕЛЕКОМ,Л030-00114-77/00980773,2023-12-21,2028-12-21,Телематические услуги связи
БРИДЖ ТЕЛЕКОМ,Л030-00114-77/00980809,2023-12-21,2028-12-21,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ВЕЛУНД,Л030-00114-77/00661558,2023-07-07,2028-07-07,Телематические услуги связи
ВИСТ ОН-ЛАЙН,Л030-00114-77/00073844,2015-10-27,2026-10-27,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ВИСТ ОН-ЛАЙН,Л030-00114-77/00073845,2015-10-27,2026-10-27,Телематические услуги связи
ВОЛГА-КАМП,Л030-00114-77/00074004,2019-12-11,2029-12-11,Телематические услуги связи
ВОЛГА-СВЯЗЬ-ТВ,Л030-00114-77/00057480,2017-01-26,2027-01-26,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ВОЛГА-СВЯЗЬ-ТВ,Л030-00114-77/00057717,2017-03-09,2027-03-09,Телематические услуги связи
ВОЛГА-СВЯЗЬ-ТВ,Л030-00114-77/01007513,2023-12-27,2028-12-27,Услуги связи по предоставлению каналов связи
ВОСТОК,Л030-00114-77/00060698,2017-11-02,2027-11-02,Телематические услуги связи
ВОСТОК-ТЕЛЕКОМ 2,Л030-00114-77/00109643,2019-01-29,2029-01-29,Услуги связи по предоставлению каналов связи
ВОСТОК-ТЕЛЕКОМ,Л030-00114-77/00067595,2018-12-11,2028-12-11,Услуги связи по предоставлению каналов связи
ВЫМПЕЛ-КОММУНИКАЦИИ,Л030-00114-77/00051855,2016-07-05,2026-07-05,Услуги связи по предоставлению каналов связи
ВЫМПЕЛ-КОММУНИКАЦИИ,Л030-00114-77/00052187,2016-04-15,2026-04-15,Телематические услуги связи
ВЫМПЕЛ-КОММУНИКАЦИИ,Л030-00114-77/00052238,2016-04-15,2026-04-15,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ВЫМПЕЛ-КОММУНИКАЦИИ,Л030-00114-77/00058432,2017-08-01,2027-08-01,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ВЫМПЕЛ-КОММУНИКАЦИИ,Л030-00114-77/00058433,2017-08-01,2027-08-01,Телематические услуги связи
ВЫМПЕЛ-КОММУНИКАЦИИ,Л030-00114-77/00066562,2018-11-12,2028-11-12,Услуги связи по предоставлению каналов связи
ГАЗПРОМНЕФТЬ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЙ ОПЕРАТОР,Л030-00114-77/00077716,2019-08-04,2029-08-04,Телематические услуги связи
ГАЗПРОМНЕФТЬ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЙ ОПЕРАТОР,Л030-00114-77/00077722,2019-08-04,2029-08-04,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ГАРАНТИЯ,Л030-00114-77/00106044,2016-12-28,2026-12-28,Услуги связи по предоставлению каналов связи
ГОРОДОК ТОЧКА РУ,Л030-00114-77/00070816,2017-08-04,2027-08-04,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
